ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Options / Answer Choices,Correct Answer,Difficulty Level
Q087,Arithmetic,Profit and Loss,Case Study,Which of the three taxis generated the maximum revenue?,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.","A, B, C, Both A & B (e) Cannot be determined",C,Difficult
Q088,Arithmetic,Profit and Loss,Case Study,What percentage of the total revenue was generated by taxi B?,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.","32.30, 33.36, 34.32, 34.36",B,Difficult
Q089,Arithmetic,Profit and Loss,Case Study,The highest profit was yielded by which taxi?,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.","A, B, C, Both A & B",C,Difficult
Q090,Arithmetic,Profit and Loss,Case Study,The taxi which had the highest percentage profit for the day was,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.","A, B, C, B & C",A,Difficult
Q091,Arithmetic,Profit and Loss,Case Study,The profit as a percentage of costs for the day was,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.","179.46%, 150.76%, 163.28%, 173.48%",B,Difficult
Q092,Arithmetic,Interest,MCQ,"What is the difference between compound interest and simple interest for the sum of `20,000 over a 2 year period if the compound interest is calculated at 20% and simple interest is calculated at 23%?",,"400, 460, 440, 450",A,Easy
Q093,Arithmetic,Interest,MCQ,Find the compound interest on `1000 at the rate of 20% per annum for 18 months when interest is compounded half-yearly.,,"331, 1331, 320, 325",A,Easy
Q094,Arithmetic,Interest,MCQ,Find the principal if the interest compounded at the rate of 10% per annum for two years is `420.,,"2000, 2200, 1000, 1100",A,Easy
Q095,Arithmetic,Interest,MCQ,Find the principal if compound interest is charged on the principal at the rate of 16 2/3 % per annum for two years and the sum becomes `196.,,"140, 154, 150, 144",D,Easy
Q096,Arithmetic,Interest,MCQ,The SBI lent 1331 to the Tata group at a compound interest and got 1728 after three years. What is the rate of interest charged if the interest is compounded annually?,,"11%, 9.09%, 12%, 8.33%",B,Easy
Q097,Arithmetic,Interest,MCQ,In what time will 3300 become 3399 at 6% per annum interest compounded half-yearly?,,"6 months, 1 year, 1½ year, 3 months",A,Easy
Q098,Arithmetic,Interest,MCQ,A sum of money invested at simple interest triples itself in 8 years at simple interest. Find in how many years will it become 8 times itself at the same rate?,,"24 years, 28 years, 30 years, 21 years",B,Moderate
Q099,Arithmetic,Interest,MCQ,A sum of money invested at simple interest triples itself in 8 years. How many times will it become in 20 years time?,,"8 times, 7 times, 6 times, 9 times",C,Moderate
Q100,Arithmetic,Interest,MCQ,"If 1100 is obtained after lending out x at 5% per annum for 2 years and 1800 is obtained after lending out y at 10% per annum for 2 years, find x + y.",,"2500, 3000, 2000, 2200",A,Moderate
Q101,Arithmetic,Interest,MCQ,"A part of `38,800 is lent out at 6% per six months. The rest of the amount is lent out at 5% per annum after one year. The ratio of interest after 3 years from the time when first amount was lent out is 5 : 4. Find the second part that was lent out at 5%.",,"26,600, 28,800, 27,500, 28,000",B,Moderate
Q102,Arithmetic,Interest,MCQ,"If the simple interest is 10.5% annual and compound interest is 10% annual, find the difference between the interests after 3 years on a sum of `1000.",,"15, 12, 16, 11",C,Moderate
Q103,Arithmetic,Interest,MCQ,A sum of 1000 after 3 years at compound interest becomes a certain amount that is equal to the amount that is the result of a 3 year depreciation from 1728. Find the difference between the rates of CI and depreciation. (Given CI is 10% p.a.). (Approximately),,"3.33%, 0.66%, 3%, 2%",D,Moderate
Q104,Arithmetic,Interest,MCQ,The RBI lends a certain amount to the SBI on simple interest for two years at 20%. The SBI gives this entire amount to Bharti Telecom on compound interest for two years at the same rate annually. Find the percentage earning of the SBI at the end of two years on the entire amount.,,"4%, 3(1/7)%, 3(2/7)%, 3(6/7)%",A,Moderate
Q105,Arithmetic,Interest,MCQ,The difference between CI and SI on a certain sum of money at 10% per annum for 3 years is `620. Find the principal if it is known that the interest is compounded annually.,,"200,000, 20,000, 10,000, 100,000",B,Difficult
Q106,Arithmetic,Interest,MCQ,"The population of Mangalore was 1,283,575 on 1 January 2011 and the growth rate of population was 10% in the last year and 5% in the years prior to it, the only exception being 2009 when because of a huge exodus there was a decline of 20% in population. What was the population on January 1, 2005?",,"1,000,000, 1,200,000, 1,250,000, 1,500,000",B,Difficult
Q107,Arithmetic,Interest,MCQ,"According to the 2011 census, the population growth rate of Lucknow is going to be an increasing AP with first year’s rate as 5% and common difference as 5%, but simultaneously the migration rate is an increasing GP with first term as 1% and common ratio of 2. If the population on 31 December 2010 is 1 million, then find in which year will Lucknow witness its first fall in population?",,"2015, 2016, 2017, 2018",B,Difficult
Q108,Arithmetic,Interest,MCQ,"Mohit Anand borrows a certain sum of money from the Mindworkzz Bank at 10% per annum at compound interest. The entire debt is discharged in full by Mohit Anand on payment of two equal amounts of `1000 each, one at the end of the first year and the other at the end of the second year. What is the approximate value of the amount borrowed by him?",,"1852, 1736, 1694, 1792",B,Difficult
Q109,Arithmetic,Interest,MCQ,"In order to buy a car, a man borrowed 180,000 on the condition that he had to pay 7.5% interest every year. He also agreed to repay the principal in equal annual instalments over 21 years. After a certain number of years, however, the rate of interest has been reduced to 7%. It is also known that at the end of the agreed period, he will have paid in all 270,900 in interest. For how many years does he pay at the reduced interest rate?",,"7 years, 12 years, 14 years, 16 years",C,Difficult
Q110,Arithmetic,Interest,MCQ,A sum of `8000 is borrowed at 5% p.a. compound interest and paid back in 3 equal annual instalments. What is the amount of each instalment?,,"2937.67, 3000, 2037.67, 2739.76",A,Difficult
Q111,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Divide `1400 into three parts in such a way that half of the first part, one-fourth of the second part and one-eighth of the third part are equal.",,"300, 600, 500, 200, 400, 800, 100, 400, 1000, None of these",B,Easy
Q112,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Divide `5000 among A, B, C and D so that A and B together get 3/7th of what C and D get together, C gets 1.5 times of what B gets and D gets 4/3 times as much as C. Now the value of what B gets is",,"500, 1000, 2000, 1500",B,Easy
Q113,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If pqqr=prpq=…\frac{pq}{qr} = \frac{pr}{pq} = \dotsqrpq​=pqpr​=…, each fraction is equal to",,"(p + q + r)^2, 1/2, 1/3, None of these",B,Easy
Q114,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If 3x^2 + 3y^2 = 10xy, what is the ratio of x to y? (Hint: Use options to solve fast)",,"1:4, 3:2, 1:3, 1:2",C,Easy
Q115,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If p : q = r : s, then the value of (p2+q2)/(r2+s2)(p^2 + q^2)/(r^2 + s^2)(p2+q2)/(r2+s2) is",,"1/2, (p + q)/(r + s), (p – q)/(r – s), pq/rs",D,Easy
Q116,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If p, q, r, s are in continued proportion then (p–s)x≥(q–r)(p – s)^x ≥ (q – r)(p–s)x≥(q–r). What is the value of x?",,"5, 3, 7, 9",B,Easy
Q117,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If 3 examiners can examine a certain number of answer books in 10 days by working 4 hours a day, for how many hours a day would 4 examiners have to work in order to examine thrice the number of answer books in 30 days?",,"3, 1, 8, 6",A,Easy
Q118,Arithmetic,"Ratio, Proportion & Variance",MCQ,"In a mixture of 60 litres, the ratio of milk and water is 2:3. How much water must be added to this mixture so that the ratio of milk and water becomes 1:2?",,"10 litres, 12 litres, 15 litres, 20 litres",B,Easy
Q119,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If the work done by p men in (p + 2) days is to the work done by (p + 4) men in (p – 1) days in the ratio 1:1, then the value of p is",,"2, 4, 6, 5",B,Moderate
Q120,Arithmetic,"Ratio, Proportion & Variance",MCQ,"The duration of a railway journey varies as the distance and inversely as the velocity; the velocity varies directly as the square root of the quantity of coal used, and inversely as the number of carriages in the train. In a journey of 50 km in half an hour with 18 carriages, 100 kg of coal is required. How much coal will be consumed in a journey of 42 km in 28 minutes with 16 carriages?",,"64 kg, 49 kg, 25 kg, 36 kg",A,Moderate
Q121,Arithmetic,"Ratio, Proportion & Variance",MCQ,The mass of a circular disc varies as the squares of the radius when the thickness remains the same; it also varies as the thickness when the radius remains the same. Two discs have their thicknesses in the ratio 16:3; find the ratio of the radii if the mass of the first is thrice that of the second.,,"3:4, 5:2, 2:1, 1:2",A,Moderate
Q122,Arithmetic,"Ratio, Proportion & Variance",MCQ,If p and q are positive integers then 2 always lies between:,,"(p + q)/(p – q) and pq, p/q and (p + 2q)/(p + q), p and q, pq/(p + q) and (p – q)/pq",B,Moderate
Q123,Arithmetic,"Ratio, Proportion & Variance",MCQ,"The cost of digging a pit was `2,694. How much will it cost (approximately) if the wages of workmen per day had been increased by 1/8 of the former wages and length of the working day increased by 1/20 of the former period?",,"2886, 2468, 2878, 2000",A,Moderate
Q124,Arithmetic,"Ratio, Proportion & Variance",MCQ,"A vessel contains p litres of wine, and another vessel contains q litres of water. r litres are taken out of each vessel and transferred to the other. If r × (p + q) = pq. If A and B are the respective values of the amount of wine contained in the respective containers after this operation, then what can be said about the relationship between A and B?",,"A = B, 2A/C > 2B/C, A – B = 4c, None of these",D,Moderate
Q125,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If sum of the roots and the product of the roots of a quadratic equation S are in the ratio of 3:1, then which of the following is true?",,"f(S) < 0, (b² – 4ac) < 0, S is a perfect square, None of these",D,Moderate
Q126,Arithmetic,"Ratio, Proportion & Variance",MCQ,"The incomes of Rahul, Saurav, and Sachin are in the ratio of 4:5:6 respectively and their spending are in the ratio of 6:7:8 respectively. If Rahul saves one fourth his income, then the savings of Rahul, Saurav, and Sachin are in the ratio:",,"2:3:4, 5:6:9, 5:9:6, 9:5:6 (e) None of these",A,Moderate
Q127,Arithmetic,"Ratio, Proportion & Variance",MCQ,"If a : b = c : d, and e : f = g : h, then (ae + bf) : (ae – bf) = ?",,"(e+f)/(e–f), (cg + dh)/(cg – dh), (ce + df)/(cg + dh), (e–f)/(e+f)",B,Moderate
Q128,Arithmetic,"Ratio, Proportion & Variance",MCQ,"X is an alloy of A and B. Y is an alloy containing 80% of A, 4% of B and 16% of C. A fused mass of X and Y is found to contain 74% of A, 16% of B, and 10% of C. The ratio of A to B in X is:",,"9:16, 12:17, 16:9, None of these",C,Moderate
Q129,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two alloys of gold and silver are in the ratios 1:2 and 2:3. In what ratio must they be mixed to get an alloy of 3:5?,,"3 & 5, 2 & 9, 2 & 5, 1 & 5",A,Difficult
Q130,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two oil quantities differ by 2 kg. Each receives 96 kcal heat; the larger is 4°C cooler. Find their masses.,,"6 & 8, 4 & 6, 2 & 9, 4 & 9",A,Difficult
Q131,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Two alloys of gold & silver: first has twice gold as silver, second has 5× less gold. How many times more of second to get twice silver as gold?",,"2×, 3×, 4×, 10×",A,Difficult
Q132,Arithmetic,"Ratio, Proportion & Variance",MCQ,Zinc–copper alloy problem: when mixed with 3 kg pure Zn → 90% Zn; when mixed with 2 kg of 90% Zn → 84% Zn. Find wt. & % of Zn.,,"2.4 kg, 80%, 1.4 kg, 88%, 3.4 kg, 60%, 7.4 kg, 18%",A,Difficult
Q133,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Two salt solutions: first has 0.8 kg, second 0.6 kg salt; total 10 kg solution. If first has 10% more salt, find weights.",,"4 kg & 6 kg, 3 kg & 7 kg, 4 kg & 9 kg, 5 kg & 9 kg",A,Difficult
Q134,Arithmetic,"Ratio, Proportion & Variance",MCQ,"A 729 L honey barrel: each time ‘a’ L removed, replaced with water, repeated 6 times → 64 L honey left. Find a.",,"243 L, 81 L, 2.7 L, 3 L",A,Difficult
Q135,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two alloys: Ni:Sn = 5:2 and 3:4. How many kg of each to get 28 kg alloy with equal Ni & Sn?,,"9 & 22, 17 & 11, 7 & 21, 8 & 20",C,Difficult
Q136,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two alloys Al:Fe = 4:1 and 1:3; 10 kg + 16 kg + pure Al added → Al:Fe = 3:2. Find total wt. of new alloy.,,"15, 35, 65, 95",B,Difficult
Q137,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Two alloys of gold, silver, platinum: first 40% Pt, second 26% Ag, same % of Au. 150 kg + 250 kg → 30% Au. Find platinum.",,"170 kg, 175 kg, 160 kg, 165 kg",A,Difficult
Q138,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two iron alloys (6 kg & 12 kg). Equal parts cut and interchanged → % of iron equalized. Find wt. of each cut piece.,,"4 kg, 2 kg, 3 kg, 5 kg",A,Difficult
Q139,Arithmetic,Time & Work,Case Study,Design and development,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,Difficult
Q140,Arithmetic,Time & Work,Case Study,Prototype creation,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,Difficult
Q141,Arithmetic,Time & Work,Case Study,Market survey,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,Difficult
Q142,Arithmetic,Time & Work,Case Study,Manufacturing setup,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,Difficult
Q143,Arithmetic,Time & Work,Case Study,Marketing and launch,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,Difficult
Q144,Arithmetic,Time & Work,Case Study,"Given this situation, the minimum number of days in which the company can launch a new toy going through all the stages is","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","40 days, 40.5 days, 45 days, 44 days",B,Difficult
Q145,Arithmetic,Time & Work,Case Study,"If A and C refuse to have anything to do with the manufacturing setup, the number of days by which the project will get delayed will be","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","5 days, 4 days, 3 days, 6 days",B,Difficult
Q146,Arithmetic,Time & Work,Case Study,"If each of the five works is equally valued at `10,000, the maximum amount will be received by","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, C, D, E",B,Difficult
Q147,Arithmetic,Time & Work,Case Study,"For question 3, the second highest amount will be received by","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, C, D, E",D,Difficult
Q148,Arithmetic,Time & Work,Case Study,"If C works at 90.909% of his efficiency during marketing and launch, who will be highest paid amongst the five of them?","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, C, D, E",B,Difficult
Q149,Arithmetic,Time & Work,Case Study,"If the company decides that the first 4 works can be started simultaneously and the experts will be allocated to their respective work areas only and a work will be done by a non-expert only if the work in his area of expertise is completed, then the expert who will first be assisted in his work will be (marketing & launch only after first 4 complete)","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, B, C, D",A,Difficult
Q150,Arithmetic,Time & Work,Case Study,"For Q6, the minimum number of days in which the whole project will get completed (efficient utilisation, nobody does a refused task)","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","22.5 days, 15 days, 24.75 days, 25.25 days",C,Difficult
Q151,Arithmetic,Time & Work,Case Study,"For the situation in Q6, the highest earning will be for","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, both B and D, C, Cannot be determined",D,Difficult
Q152,Arithmetic,Time & Work,Case Study,"If each work has an equal payment of `10,000, the lowest earning for the above situation will be for","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","A, E, C, B",C,Difficult
Q153,Arithmetic,Time & Work,Case Study,The value of the earning for the highest earning person (if Q6–Q9 data accurate) will be,"Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10","19,312.5, 13,250, 12,875, B",C,Difficult
Q154,Arithmetic,Time and Distance,MCQ,"The Sinhagad Express left Pune at noon. Two hours later, the Deccan Queen started from Pune in the same direction. The Deccan Queen overtook the Sinhagad Express at 8 p.m. Find the average speed of the two trains over this journey if the sum of their average speeds is 70 km/h.",,"34.28 km/h, 35 km/h, 50 km/h, 12 km/h",A,Very Easy
Q155,Arithmetic,Time and Distance,MCQ,"Walking at 3/4 of his normal speed, Abhishek is 16 minutes late in reaching his office. The usual time taken by him to cover the distance between his home and his office is",,"48 minutes, 60 minutes, 42 minutes, 62 minutes",A,Very Easy
Q156,Arithmetic,Time and Distance,MCQ,"Ram and Bharat travel the same distance at the rate of 6 km/h and 10 km/h respectively. If Ram takes 30 minutes longer than Bharat, the distance travelled by each is",,"6 km, 10 km, 7.5 km, 20 km",C,Very Easy
Q157,Arithmetic,Time and Distance,MCQ,Two trains for Mumbai leave Delhi at 6:00 a.m. and 6:45 a.m. and travel at 100 kmph and 136 kmph respectively. How many kilometres from Delhi will the two trains be together?,,"262.4 km, 260 km, 283.33 km, 275 km",C,Very Easy
Q158,Arithmetic,Time and Distance,MCQ,"Two trains, Calcutta Mail and Bombay Mail, start at the same time from Kolkata and Mumbai respectively towards each other. After passing each other, they take 12 hours and 3 hours to reach Mumbai and Kolkata respectively. If the Calcutta Mail is moving at the speed of 48 km/h, the speed of the Bombay Mail is",,"24 km/h, 22 km/h, 21 km/h, 96 km/h",D,Very Easy
Q159,Arithmetic,Time and Distance,MCQ,"Shyam’s house, his office and his gym are all equidistant from each other. The distance between any 2 of them is 4 km. Shyam starts walking from his gym in a direction parallel to the road connecting his office and his house and stops when he reaches a point directly east of his office. He then reverses direction and walks till he reaches a point directly south of his office. The total distance walked by Shyam is",,"6 km, 9 km, 16 km, 12 km",D,Very Easy
Q160,Arithmetic,Time and Distance,MCQ,"Lonavala and Khandala are two stations 600 km apart. A train starts from Lonavala at 25 km/h. After two hours, another train starts from Khandala at 35 km/h. How far from Lonavala will they cross?",,"250 km, 300 km, 279.166 km, 475 km",C,Very Easy
Q161,Arithmetic,Time and Distance,MCQ,"Walking at 3/4 of his normal speed, a man takes 2½ hours more than the normal time. Find the normal time.",,"7.5 h, 6 h, 8 h, 12 h",A,Very Easy
Q162,Arithmetic,Time and Distance,MCQ,Alok walks to a viewpoint and returns to the starting point by his car and thus takes a total time of 6 h 45 min. He would have gained 2 hours by driving both ways. How long would it have taken for him to walk both ways?,,"8 h 45 min, 7 h 45 min, 5 h 30 min, 6 h 45 min",A,Very Easy
Q163,Arithmetic,Time and Distance,MCQ,Sambhu beats Kalu by 30 metres or 10 seconds. How much time was taken by Sambhu to complete a race 1200 metres?,,"6 min 30 s, 3 min 15 s, 12 min 10 s, 2 min 5 s",A,Very Easy
Q164,Arithmetic,Time and Distance,MCQ,What is the time taken by Chandu to cover a distance of 360 km by a motorcycle moving at a speed of 10 m/s?,,"10 h, 5 h, 8 h, 6 h",A,Very Easy
Q165,Arithmetic,Time and Distance,MCQ,"Without stoppage, a train travels a certain distance at 60 km/h, and with stoppage it covers the same distance at 40 km/h. On average, how many minutes per hour does the train stop during the journey?",,"20 min/h, 15 min/h, 10 min/h, 10 min/h",A,Very Easy
Q166,Arithmetic,Time and Distance,MCQ,Rajdhani Express travels 650 km in 5 h and another 940 km in 10 h. What is the average speed of the train?,,"1590 km/h, 168 km/h, 106 km/h, 126 km/h",C,Very Easy
Q167,Arithmetic,Time and Distance,MCQ,"Rishikant travels 20 min at 30 km/h, 30 min at 50 km/h, 1 h at 50 km/h and 1 h at 60 km/h. What is the average velocity?",,"51.18 km/h, 63 km/h, 39 km/h, 48 km/h",A,Very Easy
